"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\sortFilters.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\sortForForum.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\stats.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\temSortFilters.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\profile.service.ts", "TypeScript", 0, 0, 0, 128, 0, 0, 0, 0, 1, 13, 142
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\stats.service.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\assets\metacritic-logo.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\assets\steam-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\custom-theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 19, 15, 8, 42
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 1, 3, 27
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\manifest.webmanifest", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\styles.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 0, 4, 1, 36
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\tsconfig.json", "JSON with Comments", 0, 32, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 13702, 32, 13, 4005, 1323, 5, 1087, 19, 120, 884, 21190
